k = 0
E = -19.4408614974123
site	densite
5 -0.0267294780809666
6 -0.0267294780809666
7 -0.0267294780809666
8 -0.0267294780809666
9 -0.0267294780809666
10 -0.0267294780809666
11 -0.0267294780809666
12 -0.0267294780809666
13 -0.0267294780809666
14 -0.0267294780809666
15 -0.0267294780809666
16 -0.0267294780809666
17 -0.0267294780809666
E = -17.1227687255505
site	densite
0 -0.102387687996743
1 -0.102387687996743
2 -0.102387687996743
3 -0.102387687996743
4 -0.102387687996743
5 -0.102387687996743
6 -0.102387687996743
7 -0.102387687996743
8 -0.102387687996743
9 -0.102387687996743
10 -0.102387687996743
11 -0.102387687996743
12 -0.102387687996743
13 -0.102387687996743
14 -0.102387687996743
15 -0.102387687996743
16 -0.102387687996743
17 -0.102387687996743
E = -17.0823886958228
site	densite
0 0.00300902463911271
1 0.00300902463911271
2 0.00300902463911271
3 0.00300902463911271
4 0.00300902463911271
5 0.00300902463911271
6 0.00300902463911271
7 0.00300902463911271
8 0.00300902463911271
9 0.00300902463911271
10 0.00300902463911271
11 0.00300902463911271
12 0.00300902463911271
13 0.00300902463911271
14 0.00300902463911271
15 0.00300902463911271
16 0.00300902463911271
17 0.00300902463911271
E = -16.8521226645724
site	densite
0 0.159593197504474
1 0.159593197504474
2 0.159593197504474
3 0.159593197504474
4 0.159593197504474
5 0.159593197504474
6 0.159593197504474
7 0.159593197504474
8 0.159593197504474
9 0.159593197504474
10 0.159593197504474
11 0.159593197504474
12 0.159593197504474
13 0.159593197504474
14 0.159593197504474
15 0.159593197504474
16 0.159593197504474
17 0.159593197504474
E = -16.7918957184591
site	densite
0 -0.0352488716905585
1 -0.0352488716905585
2 -0.0352488716905585
3 -0.0352488716905585
4 -0.0352488716905585
5 -0.0352488716905585
6 -0.0352488716905585
7 -0.0352488716905585
8 -0.0352488716905585
9 -0.0352488716905585
10 -0.0352488716905585
11 -0.0352488716905585
12 -0.0352488716905585
13 -0.0352488716905585
14 -0.0352488716905585
15 -0.0352488716905585
16 -0.0352488716905585
17 -0.0352488716905585
k = 6
E = -19.4383086981488
site	densite
0 0.333316813071225
1 0.33381119220079
2 0.333316813071225
3 0.33381119220079
4 0.333316813071225
5 0.33381119220079
6 0.333316813071225
7 0.33381119220079
8 0.333316813071225
9 0.33381119220079
10 0.333316813071225
11 0.33381119220079
12 0.333316813071225
13 0.33381119220079
14 0.333316813071225
15 0.33381119220079
16 0.333316813071225
17 0.33381119220079
E = -18.8589690381777
site	densite
0 0.112217052756663
1 0.112874046103599
2 0.112217052756663
3 0.112874046103599
4 0.112217052756663
5 0.112874046103599
6 0.112217052756663
7 0.112874046103599
8 0.112217052756663
9 0.112874046103599
10 0.112217052756663
11 0.112874046103599
12 0.112217052756663
13 0.112874046103599
14 0.112217052756663
15 0.112874046103599
16 0.112217052756663
17 0.112874046103599
E = -18.3653339358693
site	densite
0 -0.00761788780455248
1 -0.00736134267171957
2 -0.00761788780455248
3 -0.00736134267171957
4 -0.00761788780455248
5 -0.00736134267171957
6 -0.00761788780455248
7 -0.00736134267171957
8 -0.00761788780455248
9 -0.00736134267171957
10 -0.00761788780455248
11 -0.00736134267171957
12 -0.00761788780455248
13 -0.00736134267171957
14 -0.00761788780455248
15 -0.00736134267171957
16 -0.00761788780455248
17 -0.00736134267171957
E = -17.9844864009442
site	densite
0 -0.049868210326581
1 -0.0512718369695777
2 -0.049868210326581
3 -0.0512718369695777
4 -0.049868210326581
5 -0.0512718369695777
6 -0.049868210326581
7 -0.0512718369695777
8 -0.049868210326581
9 -0.0512718369695777
10 -0.049868210326581
11 -0.0512718369695777
12 -0.049868210326581
13 -0.0512718369695777
14 -0.049868210326581
15 -0.0512718369695777
16 -0.049868210326581
17 -0.0512718369695777
E = -17.685485662099
